data extract finished>>>begin EM algorithm>>>2018-04-30 09:28:38,819 INFO    : data extract finished>>>begin EM algorithm>>>
2018-05-02 21:11:37,276 INFO    : =================================================================================================
2018-05-02 21:11:37,276 INFO    : =================================================================================================
2018-05-02 21:11:37,276 INFO    : =================================================================================================
2018-05-02 21:11:37,277 INFO    : =================================================================================================
2018-05-02 21:11:37,277 INFO    : =================================================================================================
2018-05-02 21:11:37,277 INFO    : =================================================================================================
2018-05-02 21:11:37,277 INFO    : =================================================================================================
2018-05-02 21:11:37,277 INFO    : =================================================================================================
2018-05-02 21:11:37,278 INFO    : =================================================================================================
2018-05-02 21:11:37,278 INFO    : =================================================================================================
2018-05-02 21:11:37,279 INFO    : =================================================================================================
2018-05-02 21:11:37,291 INFO    : =================================================================================================
2018-05-02 21:11:37,293 INFO    : =================================================================================================
2018-05-02 21:11:37,297 INFO    : =================================================================================================
2018-05-02 21:11:37,316 INFO    : =================================================================================================
2018-05-02 21:12:21,352 INFO    : =================================================================================================
2018-05-03 17:14:41,587 INFO    : =================================================================================================
2018-05-03 17:15:22,445 INFO    : =================================================================================================
2018-05-03 19:13:47,436 INFO    : =================================================================================================
2018-05-04 08:54:41,242 INFO    : =================================================================================================
2018-05-04 08:55:17,019 INFO    : =================================================================================================
2018-05-04 09:03:00,648 INFO    : =================================================================================================
2018-05-04 09:05:45,124 INFO    : =================================================================================================
2018-05-04 12:54:43,011 INFO    : =================================================================================================
2018-05-04 13:31:23,232 INFO    : =================================================================================================
2018-05-04 13:52:15,067 INFO    : Estimate between class covariance, it 1 / 10
2018-05-06 09:39:54,687 INFO    : =================================================================================================
2018-05-06 09:50:01,897 INFO    : =================================================================================================
2018-05-06 09:51:54,663 INFO    : =================================================================================================
2018-05-06 09:52:02,027 INFO    : =================================================================================================
2018-05-06 09:54:27,111 INFO    : =================================================================================================
2018-05-06 09:55:44,900 INFO    : =================================================================================================
2018-05-06 10:05:10,670 INFO    : =================================================================================================
2018-05-06 10:23:43,084 INFO    : =================================================================================================
2018-05-06 10:24:17,807 INFO    : =================================================================================================
2018-05-06 10:27:21,862 INFO    : =================================================================================================
2018-05-06 10:28:10,993 INFO    : =================================================================================================
2018-05-06 10:58:11,623 INFO    : =================================================================================================
2018-05-06 10:58:35,418 INFO    : =================================================================================================
2018-05-06 11:47:34,290 INFO    : =================================================================================================
2018-05-06 11:48:20,692 INFO    : =================================================================================================
2018-05-06 11:49:08,048 INFO    : =================================================================================================
2018-05-06 12:30:38,978 INFO    : =================================================================================================
2018-05-06 12:30:53,661 INFO    : =================================================================================================
2018-05-06 12:33:18,786 INFO    : =================================================================================================
2018-05-06 12:36:16,477 INFO    : =================================================================================================
2018-05-06 12:38:06,583 INFO    : =================================================================================================
2018-05-06 12:39:20,048 INFO    : =================================================================================================
2018-05-06 12:40:16,618 INFO    : =================================================================================================
2018-05-06 12:48:38,587 INFO    : =================================================================================================
2018-05-06 12:49:20,729 INFO    : =================================================================================================
2018-05-06 12:50:28,983 INFO    : =================================================================================================
2018-05-06 13:07:34,154 INFO    : =================================================================================================
2018-05-06 13:19:37,941 INFO    : =================================================================================================
2018-05-06 13:20:40,812 INFO    : =================================================================================================
2018-05-06 13:22:05,031 INFO    : =================================================================================================
2018-05-06 13:23:05,989 INFO    : =================================================================================================
2018-05-06 13:24:21,070 INFO    : =================================================================================================
2018-05-06 13:29:04,839 INFO    : =================================================================================================
2018-05-06 13:42:46,772 INFO    : =================================================================================================
2018-05-06 13:43:08,468 INFO    : =================================================================================================
2018-05-06 13:49:33,579 INFO    : =================================================================================================
2018-05-06 13:49:42,580 INFO    : =================================================================================================
2018-05-06 13:49:42,584 INFO    : =================================================================================================
2018-05-06 13:49:42,585 INFO    : =================================================================================================
2018-05-06 13:49:42,585 INFO    : =================================================================================================
2018-05-06 13:49:42,586 INFO    : =================================================================================================
2018-05-06 13:49:42,587 INFO    : =================================================================================================
2018-05-06 13:49:42,587 INFO    : =================================================================================================
2018-05-06 13:49:42,587 INFO    : =================================================================================================
2018-05-06 13:49:42,587 INFO    : =================================================================================================
2018-05-06 13:49:42,588 INFO    : =================================================================================================
2018-05-06 13:49:42,588 INFO    : =================================================================================================
2018-05-06 13:49:42,588 INFO    : =================================================================================================
2018-05-06 13:49:42,588 INFO    : =================================================================================================
2018-05-06 13:49:42,588 INFO    : =================================================================================================
2018-05-06 13:49:42,588 INFO    : =================================================================================================
2018-05-06 13:49:42,589 INFO    : =================================================================================================
2018-05-06 13:49:42,589 INFO    : =================================================================================================
2018-05-06 13:49:42,589 INFO    : =================================================================================================
2018-05-06 13:49:42,589 INFO    : =================================================================================================
2018-05-06 13:49:42,589 INFO    : =================================================================================================
2018-05-06 13:49:42,589 INFO    : =================================================================================================
2018-05-06 13:49:42,589 INFO    : =================================================================================================
2018-05-06 13:49:42,589 INFO    : =================================================================================================
2018-05-06 13:49:42,589 INFO    : =================================================================================================
2018-05-06 13:49:42,590 INFO    : =================================================================================================
2018-05-06 13:49:42,590 INFO    : =================================================================================================
2018-05-06 13:49:42,590 INFO    : =================================================================================================
2018-05-06 13:49:42,590 INFO    : =================================================================================================
2018-05-06 13:49:42,590 INFO    : =================================================================================================
2018-05-06 13:49:42,590 INFO    : =================================================================================================
2018-05-06 13:49:42,590 INFO    : =================================================================================================
2018-05-06 13:49:42,591 INFO    : =================================================================================================
2018-05-06 13:49:42,591 INFO    : =================================================================================================
2018-05-06 13:49:42,591 INFO    : =================================================================================================
2018-05-06 13:49:42,591 INFO    : =================================================================================================
2018-05-06 13:49:42,591 INFO    : =================================================================================================
2018-05-06 13:49:42,591 INFO    : =================================================================================================
2018-05-06 13:49:42,591 INFO    : =================================================================================================
2018-05-06 13:49:42,591 INFO    : =================================================================================================
2018-05-06 13:49:42,591 INFO    : =================================================================================================
2018-05-06 13:49:42,591 INFO    : =================================================================================================
2018-05-06 13:49:42,592 INFO    : =================================================================================================
2018-05-06 13:49:42,592 INFO    : =================================================================================================
